,nome_pokemon,num_pokedex,tipos,HP,atk,Def,sp_atk,sp_def,Speed,total
434,Skuntank,#0435,"Poison, Dark",103,93,67,71,61,84,479
435,Bronzor,#0436,"Steel, Psychic",57,24,86,24,86,23,300
436,Bronzong,#0437,"Steel, Psychic",67,89,116,79,116,33,500
437,Bonsly,#0438,Rock,50,80,95,10,45,10,290
438,Mime Jr.,#0439,"Psychic, Fairy",20,25,45,70,90,60,310
439,Happiny,#0440,Normal,100,5,5,15,65,30,220
440,Chatot,#0441,"Normal, Flying",76,65,45,92,42,91,411
441,Spiritomb,#0442,"Ghost, Dark",50,92,108,92,108,35,485
442,Gible,#0443,"Dragon, Ground",58,70,45,40,45,42,300
443,Gabite,#0444,"Dragon, Ground",68,90,65,50,55,82,410
444,Garchomp,#0445,"Dragon, Ground",108,130,95,80,85,102,600
445,Munchlax,#0446,Normal,135,85,40,40,85,5,390
446,Riolu,#0447,Fighting,40,70,40,35,40,60,285
447,Lucario,#0448,"Fighting, Steel",70,110,70,115,70,90,525
448,Hippopotas,#0449,Ground,68,72,78,38,42,32,330
449,Hippowdon,#0450,Ground,108,112,118,68,72,47,525
450,Skorupi,#0451,"Poison, Bug",40,50,90,30,55,65,330
451,Drapion,#0452,"Poison, Dark",70,90,110,60,75,95,500
452,Croagunk,#0453,"Poison, Fighting",48,61,40,61,40,50,300
453,Toxicroak,#0454,"Poison, Fighting",83,106,65,86,65,85,490
454,Carnivine,#0455,Grass,74,100,72,90,72,46,454
455,Finneon,#0456,Water,49,49,56,49,61,66,330
456,Lumineon,#0457,Water,69,69,76,69,86,91,460
457,Mantyke,#0458,"Water, Flying",45,20,50,60,120,50,345
458,Snover,#0459,"Grass, Ice",60,62,50,62,60,40,334
459,Abomasnow,#0460,"Grass, Ice",90,92,75,92,85,60,494
460,Weavile,#0461,"Dark, Ice",70,120,65,45,85,125,510
461,Magnezone,#0462,"Electric, Steel",70,70,115,130,90,60,535
462,Lickilicky,#0463,Normal,110,85,95,80,95,50,515
463,Rhyperior,#0464,"Ground, Rock",115,140,130,55,55,40,535
464,Tangrowth,#0465,Grass,100,100,125,110,50,50,535
465,Electivire,#0466,Electric,75,123,67,95,85,95,540
466,Magmortar,#0467,Fire,75,95,67,125,95,83,540
467,Togekiss,#0468,"Fairy, Flying",85,50,95,120,115,80,545
468,Yanmega,#0469,"Bug, Flying",86,76,86,116,56,95,515
469,Leafeon,#0470,Grass,65,110,130,60,65,95,525
470,Glaceon,#0471,Ice,65,60,110,130,95,65,525
471,Gliscor,#0472,"Ground, Flying",75,95,125,45,75,95,510
472,Mamoswine,#0473,"Ice, Ground",110,130,80,70,60,80,530
473,Porygon-Z,#0474,Normal,85,80,70,135,75,90,535
474,Gallade,#0475,"Psychic, Fighting",68,125,65,65,115,80,518
475,Probopass,#0476,"Rock, Steel",60,55,145,75,150,40,525
476,Dusknoir,#0477,Ghost,45,100,135,65,135,45,525
477,Froslass,#0478,"Ice, Ghost",70,80,70,80,70,110,480
478,Rotom,#0479,"Electric, Ghost",50,50,77,95,77,91,440
479,Uxie,#0480,Psychic,75,75,130,75,130,95,580
480,Mesprit,#0481,Psychic,80,105,105,105,105,80,580
481,Azelf,#0482,Psychic,75,125,70,125,70,115,580
482,Dialga,#0483,"Steel, Dragon",100,120,120,150,100,90,680
483,Palkia,#0484,"Water, Dragon",90,120,100,150,120,100,680
484,Heatran,#0485,"Fire, Steel",91,90,106,130,106,77,600
485,Regigigas,#0486,Normal,110,160,110,80,110,100,670
486,Giratina,#0487,"Ghost, Dragon",150,100,120,100,120,90,680
487,Cresselia,#0488,Psychic,120,70,110,75,120,85,580
488,Phione,#0489,Water,80,80,80,80,80,80,480
489,Manaphy,#0490,Water,100,100,100,100,100,100,600
490,Darkrai,#0491,Dark,70,90,90,135,90,125,600
491,Shaymin,#0492,Grass,100,100,100,100,100,100,600
492,Arceus,#0493,Normal,120,120,120,120,120,120,720
493,Victini,#0494,"Psychic, Fire",100,100,100,100,100,100,600
494,Snivy,#0495,Grass,45,45,55,45,55,63,308
495,Servine,#0496,Grass,60,60,75,60,75,83,413
496,Serperior,#0497,Grass,75,75,95,75,95,113,528
497,Tepig,#0498,Fire,65,63,45,45,45,45,308
498,Pignite,#0499,"Fire, Fighting",90,93,55,70,55,55,418
499,Emboar,#0500,"Fire, Fighting",110,123,65,100,65,65,528
500,Oshawott,#0501,Water,55,55,45,63,45,45,308
501,Dewott,#0502,Water,75,75,60,83,60,60,413
502,Samurott,#0503,Water,95,100,85,108,70,70,528
503,Patrat,#0504,Normal,45,55,39,35,39,42,255
504,Watchog,#0505,Normal,60,85,69,60,69,77,420
505,Lillipup,#0506,Normal,45,60,45,25,45,55,275
506,Herdier,#0507,Normal,65,80,65,35,65,60,370
507,Stoutland,#0508,Normal,85,110,90,45,90,80,500
508,Purrloin,#0509,Dark,41,50,37,50,37,66,281
509,Liepard,#0510,Dark,64,88,50,88,50,106,446
510,Pansage,#0511,Grass,50,53,48,53,48,64,316
511,Simisage,#0512,Grass,75,98,63,98,63,101,498
512,Pansear,#0513,Fire,50,53,48,53,48,64,316
513,Simisear,#0514,Fire,75,98,63,98,63,101,498
514,Panpour,#0515,Water,50,53,48,53,48,64,316
515,Simipour,#0516,Water,75,98,63,98,63,101,498
516,Munna,#0517,Psychic,76,25,45,67,55,24,292
517,Musharna,#0518,Psychic,116,55,85,107,95,29,487
518,Pidove,#0519,"Normal, Flying",50,55,50,36,30,43,264
519,Tranquill,#0520,"Normal, Flying",62,77,62,50,42,65,358
520,Unfezant,#0521,"Normal, Flying",80,115,80,65,55,93,488
521,Blitzle,#0522,Electric,45,60,32,50,32,76,295
522,Zebstrika,#0523,Electric,75,100,63,80,63,116,497
523,Roggenrola,#0524,Rock,55,75,85,25,25,15,280
524,Boldore,#0525,Rock,70,105,105,50,40,20,390
525,Gigalith,#0526,Rock,85,135,130,60,80,25,515
526,Woobat,#0527,"Psychic, Flying",65,45,43,55,43,72,323
527,Swoobat,#0528,"Psychic, Flying",67,57,55,77,55,114,425
528,Drilbur,#0529,Ground,60,85,40,30,45,68,328
529,Excadrill,#0530,"Ground, Steel",110,135,60,50,65,88,508
530,Audino,#0531,Normal,103,60,86,60,86,50,445
531,Timburr,#0532,Fighting,75,80,55,25,35,35,305
532,Gurdurr,#0533,Fighting,85,105,85,40,50,40,405
533,Conkeldurr,#0534,Fighting,105,140,95,55,65,45,505
534,Tympole,#0535,Water,50,50,40,50,40,64,294
535,Palpitoad,#0536,"Water, Ground",75,65,55,65,55,69,384
536,Seismitoad,#0537,"Water, Ground",105,95,75,85,75,74,509
537,Throh,#0538,Fighting,120,100,85,30,85,45,465
538,Sawk,#0539,Fighting,75,125,75,30,75,85,465
539,Sewaddle,#0540,"Bug, Grass",45,53,70,40,60,42,310
540,Swadloon,#0541,"Bug, Grass",55,63,90,50,80,42,380
541,Leavanny,#0542,"Bug, Grass",75,103,80,70,80,92,500
542,Venipede,#0543,"Bug, Poison",30,45,59,30,39,57,260
543,Whirlipede,#0544,"Bug, Poison",40,55,99,40,79,47,360
544,Scolipede,#0545,"Bug, Poison",60,100,89,55,69,112,485
545,Cottonee,#0546,"Grass, Fairy",40,27,60,37,50,66,280
546,Whimsicott,#0547,"Grass, Fairy",60,67,85,77,75,116,480
547,Petilil,#0548,Grass,45,35,50,70,50,30,280
548,Lilligant,#0549,Grass,70,60,75,110,75,90,480
549,Basculin,#0550,Water,70,92,65,80,55,98,460
550,Sandile,#0551,"Ground, Dark",50,72,35,35,35,65,292
551,Krokorok,#0552,"Ground, Dark",60,82,45,45,45,74,351
552,Krookodile,#0553,"Ground, Dark",95,117,80,65,70,92,519
553,Darumaka,#0554,Fire,70,90,45,15,45,50,315
554,Darmanitan,#0555,Fire,105,140,55,30,55,95,480
555,Maractus,#0556,Grass,75,86,67,106,67,60,461
556,Dwebble,#0557,"Bug, Rock",50,65,85,35,35,55,325
557,Crustle,#0558,"Bug, Rock",70,105,125,65,75,45,485
558,Scraggy,#0559,"Dark, Fighting",50,75,70,35,70,48,348
559,Scrafty,#0560,"Dark, Fighting",65,90,115,45,115,58,488
560,Sigilyph,#0561,"Psychic, Flying",72,58,80,103,80,97,490
561,Yamask,#0562,Ghost,38,30,85,55,65,30,303
562,Cofagrigus,#0563,Ghost,58,50,145,95,105,30,483
563,Tirtouga,#0564,"Water, Rock",54,78,103,53,45,22,355
564,Carracosta,#0565,"Water, Rock",74,108,133,83,65,32,495
565,Archen,#0566,"Rock, Flying",55,112,45,74,45,70,401
566,Archeops,#0567,"Rock, Flying",75,140,65,112,65,110,567
567,Trubbish,#0568,Poison,50,50,62,40,62,65,329
568,Garbodor,#0569,Poison,80,95,82,60,82,75,474
569,Zorua,#0570,Dark,40,65,40,80,40,65,330
570,Zoroark,#0571,Dark,60,105,60,120,60,105,510
571,Minccino,#0572,Normal,55,50,40,40,40,75,300
572,Cinccino,#0573,Normal,75,95,60,65,60,115,470
573,Gothita,#0574,Psychic,45,30,50,55,65,45,290
574,Gothorita,#0575,Psychic,60,45,70,75,85,55,390
575,Gothitelle,#0576,Psychic,70,55,95,95,110,65,490
576,Solosis,#0577,Psychic,45,30,40,105,50,20,290
577,Duosion,#0578,Psychic,65,40,50,125,60,30,370
578,Reuniclus,#0579,Psychic,110,65,75,125,85,30,490
579,Ducklett,#0580,"Water, Flying",62,44,50,44,50,55,305
580,Swanna,#0581,"Water, Flying",75,87,63,87,63,98,473
581,Vanillite,#0582,Ice,36,50,50,65,60,44,305
582,Vanillish,#0583,Ice,51,65,65,80,75,59,395
583,Vanilluxe,#0584,Ice,71,95,85,110,95,79,535
584,Deerling,#0585,"Normal, Grass",60,60,50,40,50,75,335
585,Sawsbuck,#0586,"Normal, Grass",80,100,70,60,70,95,475
586,Emolga,#0587,"Electric, Flying",55,75,60,75,60,103,428
587,Karrablast,#0588,Bug,50,75,45,40,45,60,315
588,Escavalier,#0589,"Bug, Steel",70,135,105,60,105,20,495
589,Foongus,#0590,"Grass, Poison",69,55,45,55,55,15,294
590,Amoonguss,#0591,"Grass, Poison",114,85,70,85,80,30,464
591,Frillish,#0592,"Water, Ghost",55,40,50,65,85,40,335
592,Jellicent,#0593,"Water, Ghost",100,60,70,85,105,60,480
593,Alomomola,#0594,Water,165,75,80,40,45,65,470
594,Joltik,#0595,"Bug, Electric",50,47,50,57,50,65,319
595,Galvantula,#0596,"Bug, Electric",70,77,60,97,60,108,472
596,Ferroseed,#0597,"Grass, Steel",44,50,91,24,86,10,305
597,Ferrothorn,#0598,"Grass, Steel",74,94,131,54,116,20,489
598,Klink,#0599,Steel,40,55,70,45,60,30,300
599,Klang,#0600,Steel,60,80,95,70,85,50,440
600,Klinklang,#0601,Steel,60,100,115,70,85,90,520
601,Tynamo,#0602,Electric,35,55,40,45,40,60,275
602,Eelektrik,#0603,Electric,65,85,70,75,70,40,405
603,Eelektross,#0604,Electric,85,115,80,105,80,50,515
604,Elgyem,#0605,Psychic,55,55,55,85,55,30,335
605,Beheeyem,#0606,Psychic,75,75,75,125,95,40,485
606,Litwick,#0607,"Ghost, Fire",50,30,55,65,55,20,275
607,Lampent,#0608,"Ghost, Fire",60,40,60,95,60,55,370
608,Chandelure,#0609,"Ghost, Fire",60,55,90,145,90,80,520
609,Axew,#0610,Dragon,46,87,60,30,40,57,320
610,Fraxure,#0611,Dragon,66,117,70,40,50,67,410
611,Haxorus,#0612,Dragon,76,147,90,60,70,97,540
612,Cubchoo,#0613,Ice,55,70,40,60,40,40,305
613,Beartic,#0614,Ice,95,130,80,70,80,50,505
614,Cryogonal,#0615,Ice,80,50,50,95,135,105,515
615,Shelmet,#0616,Bug,50,40,85,40,65,25,305
616,Accelgor,#0617,Bug,80,70,40,100,60,145,495
617,Stunfisk,#0618,"Ground, Electric",109,66,84,81,99,32,471
618,Mienfoo,#0619,Fighting,45,85,50,55,50,65,350
619,Mienshao,#0620,Fighting,65,125,60,95,60,105,510
620,Druddigon,#0621,Dragon,77,120,90,60,90,48,485
621,Golett,#0622,"Ground, Ghost",59,74,50,35,50,35,303
622,Golurk,#0623,"Ground, Ghost",89,124,80,55,80,55,483
623,Pawniard,#0624,"Dark, Steel",45,85,70,40,40,60,340
624,Bisharp,#0625,"Dark, Steel",65,125,100,60,70,70,490
625,Bouffalant,#0626,Normal,95,110,95,40,95,55,490
626,Rufflet,#0627,"Normal, Flying",70,83,50,37,50,60,350
627,Braviary,#0628,"Normal, Flying",100,123,75,57,75,80,510
628,Vullaby,#0629,"Dark, Flying",70,55,75,45,65,60,370
629,Mandibuzz,#0630,"Dark, Flying",110,65,105,55,95,80,510
630,Heatmor,#0631,Fire,85,97,66,105,66,65,484
631,Durant,#0632,"Bug, Steel",58,109,112,48,48,109,484
632,Deino,#0633,"Dark, Dragon",52,65,50,45,50,38,300
633,Zweilous,#0634,"Dark, Dragon",72,85,70,65,70,58,420
634,Hydreigon,#0635,"Dark, Dragon",92,105,90,125,90,98,600
635,Larvesta,#0636,"Bug, Fire",55,85,55,50,55,60,360
636,Volcarona,#0637,"Bug, Fire",85,60,65,135,105,100,550
637,Cobalion,#0638,"Steel, Fighting",91,90,129,90,72,108,580
638,Terrakion,#0639,"Rock, Fighting",91,129,90,72,90,108,580
639,Virizion,#0640,"Grass, Fighting",91,90,72,90,129,108,580
640,Tornadus,#0641,Flying,79,115,70,125,80,111,580
641,Thundurus,#0642,"Electric, Flying",79,115,70,125,80,111,580
642,Reshiram,#0643,"Dragon, Fire",100,120,100,150,120,90,680
643,Zekrom,#0644,"Dragon, Electric",100,150,120,120,100,90,680
644,Landorus,#0645,"Ground, Flying",89,125,90,115,80,101,600
645,Kyurem,#0646,"Dragon, Ice",125,130,90,130,90,95,660
646,Keldeo,#0647,"Water, Fighting",91,72,90,129,90,108,580
647,Meloetta,#0648,"Normal, Psychic",100,77,77,128,128,90,600
648,Genesect,#0649,"Bug, Steel",71,120,95,120,95,99,600
649,Chespin,#0650,Grass,56,61,65,48,45,38,313
650,Quilladin,#0651,Grass,61,78,95,56,58,57,405
651,Chesnaught,#0652,"Grass, Fighting",88,107,122,74,75,64,530
652,Fennekin,#0653,Fire,40,45,40,62,60,60,307
653,Braixen,#0654,Fire,59,59,58,90,70,73,409
654,Delphox,#0655,"Fire, Psychic",75,69,72,114,100,104,534
655,Froakie,#0656,Water,41,56,40,62,44,71,314
656,Frogadier,#0657,Water,54,63,52,83,56,97,405
657,Greninja,#0658,"Water, Dark",72,95,67,103,71,122,530
658,Bunnelby,#0659,Normal,38,36,38,32,36,57,237
659,Diggersby,#0660,"Normal, Ground",85,56,77,50,77,78,423
660,Fletchling,#0661,"Normal, Flying",45,50,43,40,38,62,278
661,Fletchinder,#0662,"Fire, Flying",62,73,55,56,52,84,382
662,Talonflame,#0663,"Fire, Flying",78,81,71,74,69,126,499
663,Scatterbug,#0664,Bug,38,35,40,27,25,35,200
664,Spewpa,#0665,Bug,45,22,60,27,30,29,213
665,Vivillon,#0666,"Bug, Flying",80,52,50,90,50,89,411
666,Litleo,#0667,"Fire, Normal",62,50,58,73,54,72,369
667,Pyroar,#0668,"Fire, Normal",86,68,72,109,66,106,507
668,Flabébé,#0669,Fairy,44,38,39,61,79,42,303
669,Floette,#0670,Fairy,54,45,47,75,98,52,371
670,Florges,#0671,Fairy,78,65,68,112,154,75,552
671,Skiddo,#0672,Grass,66,65,48,62,57,52,350
672,Gogoat,#0673,Grass,123,100,62,97,81,68,531
673,Pancham,#0674,Fighting,67,82,62,46,48,43,348
674,Pangoro,#0675,"Fighting, Dark",95,124,78,69,71,58,495
675,Furfrou,#0676,Normal,75,80,60,65,90,102,472
676,Espurr,#0677,Psychic,62,48,54,63,60,68,355
677,Meowstic,#0678,Psychic,74,48,76,83,81,104,466
678,Honedge,#0679,"Steel, Ghost",45,80,100,35,37,28,325
679,Doublade,#0680,"Steel, Ghost",59,110,150,45,49,35,448
680,Aegislash,#0681,"Steel, Ghost",60,50,140,50,140,60,500
681,Spritzee,#0682,Fairy,78,52,60,63,65,23,341
682,Aromatisse,#0683,Fairy,101,72,72,99,89,29,462
683,Swirlix,#0684,Fairy,62,48,66,59,57,49,341
684,Slurpuff,#0685,Fairy,82,80,86,85,75,72,480
685,Inkay,#0686,"Dark, Psychic",53,54,53,37,46,45,288
686,Malamar,#0687,"Dark, Psychic",86,92,88,68,75,73,482
687,Binacle,#0688,"Rock, Water",42,52,67,39,56,50,306
688,Barbaracle,#0689,"Rock, Water",72,105,115,54,86,68,500
689,Skrelp,#0690,"Poison, Water",50,60,60,60,60,30,320
690,Dragalge,#0691,"Poison, Dragon",65,75,90,97,123,44,494
691,Clauncher,#0692,Water,50,53,62,58,63,44,330
692,Clawitzer,#0693,Water,71,73,88,120,89,59,500
693,Helioptile,#0694,"Electric, Normal",44,38,33,61,43,70,289
694,Heliolisk,#0695,"Electric, Normal",62,55,52,109,94,109,481
695,Tyrunt,#0696,"Rock, Dragon",58,89,77,45,45,48,362
696,Tyrantrum,#0697,"Rock, Dragon",82,121,119,69,59,71,521
697,Amaura,#0698,"Rock, Ice",77,59,50,67,63,46,362
698,Aurorus,#0699,"Rock, Ice",123,77,72,99,92,58,521
699,Sylveon,#0700,Fairy,95,65,65,110,130,60,525
700,Hawlucha,#0701,"Fighting, Flying",78,92,75,74,63,118,500
701,Dedenne,#0702,"Electric, Fairy",67,58,57,81,67,101,431
702,Carbink,#0703,"Rock, Fairy",50,50,150,50,150,50,500
703,Goomy,#0704,Dragon,45,50,35,55,75,40,300
704,Sliggoo,#0705,Dragon,68,75,53,83,113,60,452
705,Goodra,#0706,Dragon,90,100,70,110,150,80,600
706,Klefki,#0707,"Steel, Fairy",57,80,91,80,87,75,470
707,Phantump,#0708,"Ghost, Grass",43,70,48,50,60,38,309
708,Trevenant,#0709,"Ghost, Grass",85,110,76,65,82,56,474
709,Pumpkaboo,#0710,"Ghost, Grass",49,66,70,44,55,51,335
710,Gourgeist,#0711,"Ghost, Grass",65,90,122,58,75,84,494
711,Bergmite,#0712,Ice,55,69,85,32,35,28,304
712,Avalugg,#0713,Ice,95,117,184,44,46,28,514
713,Noibat,#0714,"Flying, Dragon",40,30,35,45,40,55,245
714,Noivern,#0715,"Flying, Dragon",85,70,80,97,80,123,535
715,Xerneas,#0716,Fairy,126,131,95,131,98,99,680
716,Yveltal,#0717,"Dark, Flying",126,131,95,131,98,99,680
717,Zygarde,#0718,"Dragon, Ground",108,100,121,81,95,95,600
718,Diancie,#0719,"Rock, Fairy",50,100,150,100,150,50,600
719,Hoopa,#0720,"Psychic, Ghost",80,110,60,150,130,70,600
720,Volcanion,#0721,"Fire, Water",80,110,120,130,90,70,600
721,Rowlet,#0722,"Grass, Flying",68,55,55,50,50,42,320
722,Dartrix,#0723,"Grass, Flying",78,75,75,70,70,52,420
723,Decidueye,#0724,"Grass, Ghost",78,107,75,100,100,70,530
724,Litten,#0725,Fire,45,65,40,60,40,70,320
725,Torracat,#0726,Fire,65,85,50,80,50,90,420
726,Incineroar,#0727,"Fire, Dark",95,115,90,80,90,60,530
727,Popplio,#0728,Water,50,54,54,66,56,40,320
728,Brionne,#0729,Water,60,69,69,91,81,50,420
729,Primarina,#0730,"Water, Fairy",80,74,74,126,116,60,530
730,Pikipek,#0731,"Normal, Flying",35,75,30,30,30,65,265
731,Trumbeak,#0732,"Normal, Flying",55,85,50,40,50,75,355
732,Toucannon,#0733,"Normal, Flying",80,120,75,75,75,60,485
733,Yungoos,#0734,Normal,48,70,30,30,30,45,253
734,Gumshoos,#0735,Normal,88,110,60,55,60,45,418
735,Grubbin,#0736,Bug,47,62,45,55,45,46,300
736,Charjabug,#0737,"Bug, Electric",57,82,95,55,75,36,400
737,Vikavolt,#0738,"Bug, Electric",77,70,90,145,75,43,500
738,Crabrawler,#0739,Fighting,47,82,57,42,47,63,338
739,Crabominable,#0740,"Fighting, Ice",97,132,77,62,67,43,478
740,Oricorio,#0741,"Fire, Flying",75,70,70,98,70,93,476
741,Cutiefly,#0742,"Bug, Fairy",40,45,40,55,40,84,304
742,Ribombee,#0743,"Bug, Fairy",60,55,60,95,70,124,464
743,Rockruff,#0744,Rock,45,65,40,30,40,60,280
744,Lycanroc,#0745,Rock,75,115,65,55,65,112,487
745,Wishiwashi,#0746,Water,45,20,20,25,25,40,175
746,Mareanie,#0747,"Poison, Water",50,53,62,43,52,45,305
747,Toxapex,#0748,"Poison, Water",50,63,152,53,142,35,495
748,Mudbray,#0749,Ground,70,100,70,45,55,45,385
749,Mudsdale,#0750,Ground,100,125,100,55,85,35,500
750,Dewpider,#0751,"Water, Bug",38,40,52,40,72,27,269
751,Araquanid,#0752,"Water, Bug",68,70,92,50,132,42,454
752,Fomantis,#0753,Grass,40,55,35,50,35,35,250
753,Lurantis,#0754,Grass,70,105,90,80,90,45,480
754,Morelull,#0755,"Grass, Fairy",40,35,55,65,75,15,285
755,Shiinotic,#0756,"Grass, Fairy",60,45,80,90,100,30,405
756,Salandit,#0757,"Poison, Fire",48,44,40,71,40,77,320
757,Salazzle,#0758,"Poison, Fire",68,64,60,111,60,117,480
758,Stufful,#0759,"Normal, Fighting",70,75,50,45,50,50,340
759,Bewear,#0760,"Normal, Fighting",120,125,80,55,60,60,500
760,Bounsweet,#0761,Grass,42,30,38,30,38,32,210
761,Steenee,#0762,Grass,52,40,48,40,48,62,290
762,Tsareena,#0763,Grass,72,120,98,50,98,72,510
763,Comfey,#0764,Fairy,51,52,90,82,110,100,485
764,Oranguru,#0765,"Normal, Psychic",90,60,80,90,110,60,490
765,Passimian,#0766,Fighting,100,120,90,40,60,80,490
766,Wimpod,#0767,"Bug, Water",25,35,40,20,30,80,230
767,Golisopod,#0768,"Bug, Water",75,125,140,60,90,40,530
768,Sandygast,#0769,"Ghost, Ground",55,55,80,70,45,15,320
769,Palossand,#0770,"Ghost, Ground",85,75,110,100,75,35,480
770,Pyukumuku,#0771,Water,55,60,130,30,130,5,410
771,Type: Null,#0772,Normal,95,95,95,95,95,59,534
772,Silvally,#0773,Normal,95,95,95,95,95,95,570
773,Minior,#0774,"Rock, Flying",60,60,100,60,100,60,440
774,Komala,#0775,Normal,65,115,65,75,95,65,480
775,Turtonator,#0776,"Fire, Dragon",60,78,135,91,85,36,485
776,Togedemaru,#0777,"Electric, Steel",65,98,63,40,73,96,435
777,Mimikyu,#0778,"Ghost, Fairy",55,90,80,50,105,96,476
778,Bruxish,#0779,"Water, Psychic",68,105,70,70,70,92,475
779,Drampa,#0780,"Normal, Dragon",78,60,85,135,91,36,485
780,Dhelmise,#0781,"Ghost, Grass",70,131,100,86,90,40,517
781,Jangmo-o,#0782,Dragon,45,55,65,45,45,45,300
782,Hakamo-o,#0783,"Dragon, Fighting",55,75,90,65,70,65,420
783,Kommo-o,#0784,"Dragon, Fighting",75,110,125,100,105,85,600
784,Tapu Koko,#0785,"Electric, Fairy",70,115,85,95,75,130,570
785,Tapu Lele,#0786,"Psychic, Fairy",70,85,75,130,115,95,570
786,Tapu Bulu,#0787,"Grass, Fairy",70,130,115,85,95,75,570
787,Tapu Fini,#0788,"Water, Fairy",70,75,115,95,130,85,570
788,Cosmog,#0789,Psychic,43,29,31,29,31,37,200
789,Cosmoem,#0790,Psychic,43,29,131,29,131,37,400
790,Solgaleo,#0791,"Psychic, Steel",137,137,107,113,89,97,680
791,Lunala,#0792,"Psychic, Ghost",137,113,89,137,107,97,680
792,Nihilego,#0793,"Rock, Poison",109,53,47,127,131,103,570
793,Buzzwole,#0794,"Bug, Fighting",107,139,139,53,53,79,570
794,Pheromosa,#0795,"Bug, Fighting",71,137,37,137,37,151,570
795,Xurkitree,#0796,Electric,83,89,71,173,71,83,570
796,Celesteela,#0797,"Steel, Flying",97,101,103,107,101,61,570
797,Kartana,#0798,"Grass, Steel",59,181,131,59,31,109,570
798,Guzzlord,#0799,"Dark, Dragon",223,101,53,97,53,43,570
799,Necrozma,#0800,Psychic,97,107,101,127,89,79,600
800,Magearna,#0801,"Steel, Fairy",80,95,115,130,115,65,600
801,Marshadow,#0802,"Fighting, Ghost",90,125,80,90,90,125,600
802,Poipole,#0803,Poison,67,73,67,73,67,73,420
803,Naganadel,#0804,"Poison, Dragon",73,73,73,127,73,121,540
804,Stakataka,#0805,"Rock, Steel",61,131,211,53,101,13,570
805,Blacephalon,#0806,"Fire, Ghost",53,127,53,151,79,107,570
806,Zeraora,#0807,Electric,88,112,75,102,80,143,600
807,Meltan,#0808,Steel,46,65,65,55,35,34,300
808,Melmetal,#0809,Steel,135,143,143,80,65,34,600
809,Grookey,#0810,Grass,50,65,50,40,40,65,310
810,Thwackey,#0811,Grass,70,85,70,55,60,80,420
811,Rillaboom,#0812,Grass,100,125,90,60,70,85,530
812,Scorbunny,#0813,Fire,50,71,40,40,40,69,310
813,Raboot,#0814,Fire,65,86,60,55,60,94,420
814,Cinderace,#0815,Fire,80,116,75,65,75,119,530
815,Sobble,#0816,Water,50,40,40,70,40,70,310
816,Drizzile,#0817,Water,65,60,55,95,55,90,420
817,Inteleon,#0818,Water,70,85,65,125,65,120,530
818,Skwovet,#0819,Normal,70,55,55,35,35,25,275
819,Greedent,#0820,Normal,120,95,95,55,75,20,460
820,Rookidee,#0821,Flying,38,47,35,33,35,57,245
821,Corvisquire,#0822,Flying,68,67,55,43,55,77,365
822,Corviknight,#0823,"Flying, Steel",98,87,105,53,85,67,495
823,Blipbug,#0824,Bug,25,20,20,25,45,45,180
824,Dottler,#0825,"Bug, Psychic",50,35,80,50,90,30,335
825,Orbeetle,#0826,"Bug, Psychic",60,45,110,80,120,90,505
826,Nickit,#0827,Dark,40,28,28,47,52,50,245
827,Thievul,#0828,Dark,70,58,58,87,92,90,455
828,Gossifleur,#0829,Grass,40,40,60,40,60,10,250
829,Eldegoss,#0830,Grass,60,50,90,80,120,60,460
830,Wooloo,#0831,Normal,42,40,55,40,45,48,270
831,Dubwool,#0832,Normal,72,80,100,60,90,88,490
832,Chewtle,#0833,Water,50,64,50,38,38,44,284
833,Drednaw,#0834,"Water, Rock",90,115,90,48,68,74,485
834,Yamper,#0835,Electric,59,45,50,40,50,26,270
835,Boltund,#0836,Electric,69,90,60,90,60,121,490
836,Rolycoly,#0837,Rock,30,40,50,40,50,30,240
837,Carkol,#0838,"Rock, Fire",80,60,90,60,70,50,410
838,Coalossal,#0839,"Rock, Fire",110,80,120,80,90,30,510
839,Applin,#0840,"Grass, Dragon",40,40,80,40,40,20,260
840,Flapple,#0841,"Grass, Dragon",70,110,80,95,60,70,485
841,Appletun,#0842,"Grass, Dragon",110,85,80,100,80,30,485
842,Silicobra,#0843,Ground,52,57,75,35,50,46,315
843,Sandaconda,#0844,Ground,72,107,125,65,70,71,510
844,Cramorant,#0845,"Flying, Water",70,85,55,85,95,85,475
845,Arrokuda,#0846,Water,41,63,40,40,30,66,280
846,Barraskewda,#0847,Water,61,123,60,60,50,136,490
847,Toxel,#0848,"Electric, Poison",40,38,35,54,35,40,242
848,Toxtricity,#0849,"Electric, Poison",75,98,70,114,70,75,502
849,Sizzlipede,#0850,"Fire, Bug",50,65,45,50,50,45,305
850,Centiskorch,#0851,"Fire, Bug",100,115,65,90,90,65,525
851,Clobbopus,#0852,Fighting,50,68,60,50,50,32,310
852,Grapploct,#0853,Fighting,80,118,90,70,80,42,480
853,Sinistea,#0854,Ghost,40,45,45,74,54,50,308
854,Polteageist,#0855,Ghost,60,65,65,134,114,70,508
855,Hatenna,#0856,Psychic,42,30,45,56,53,39,265
856,Hattrem,#0857,Psychic,57,40,65,86,73,49,370
857,Hatterene,#0858,"Psychic, Fairy",57,90,95,136,103,29,510
858,Impidimp,#0859,"Dark, Fairy",45,45,30,55,40,50,265
859,Morgrem,#0860,"Dark, Fairy",65,60,45,75,55,70,370
